Work ID,DOI,Title,Author,Year,Date,Citation count,Open access
W4408985588,https://doi.org/10.32628/cseit25112702,Hybrid Retrieval-Augmented Generation (RAG) Systems with Embedding Vector Databases,S. Kiran,2025,2025-03-28,5,Open Access
W4413968235,https://doi.org/10.14778/3746405.3746427,<i>HAKES</i> : Scalable Vector Database for Embedding Search Service,Guoyu Hu|Shaofeng Cai|Tien Tuan Anh Dinh|Zhongle Xie|Cong Yue|Gang Chen|Beng Chin Ooi,2025,2025-05-01,5,Open Access
W4413980656,https://doi.org/10.14778/3749646.3749724,Turbocharging Vector Databases Using Modern SSDs,Joobo Shim|Jaewon Oh|Hongchan Roh|Jaeyoung Do|Sang-Won Lee,2025,2025-07-01,3,NOT Open Access
W4414241804,https://doi.org/10.14778/3750601.3750619,GaussDB-Vector: A Large-Scale Persistent Real-Time Vector Database for LLM Applications,Ji Sun|Guoliang Li|James Pan|Jiang Wang|Yongqing Xie|Ruicheng Liu|Wen Nie,2025,2025-08-01,6,NOT Open Access
W1987616999,https://doi.org/10.14358/pers.76.2.173,Automated Image-to-Map Discrepancy Detection using Iterative Trimming,Julien Radoux|Pierre Defourny,2010,2010-02-01,28,Open Access
W2752706809,https://doi.org/10.1080/01431161.2017.1368099,Assessing the relationship between sky view factor and land surface temperature to the spatial resolution,M. Scarano|Francesco Mancini,2017,2017-08-29,104,Open Access
W2338162861,,Simple Solutions for Compressed Execution in Vectorized Database System,Alicja Łuszczak,2011,2011-01-01,3,NOT Open Access
W4399305008,https://doi.org/10.1093/bioinformatics/btae353,KRAGEN: a knowledge graph-enhanced RAG framework for biomedical problem solving using large language models,Nicholas Matsumoto|Jay Moran|Hyun‐Jun Choi|Miguel Hernandez|Mythreye Venkatesan|Paul P. Wang|Jason H. Moore,2024,2024-06-01,96,Open Access
W2040186462,https://doi.org/10.1016/s0926-5805(00)00057-1,The Computer Integrated Road Construction project,François Peyret|Jaroslaw Jurasz|André Carrel|E Zekri|B.J. Gorham,2000,2000-09-01,90,NOT Open Access
W4411643664,https://doi.org/10.1016/j.eswa.2025.128644,ChatSOS: Vector database augmented generative question answering assistant in safety engineering,Haiyang Tang|Dongping Chen|Qingzhao Chu|Zhenyi Liu,2025,2025-06-25,4,NOT Open Access
W4401778192,https://doi.org/10.33480/jitk.v10i1.5572,IMPLEMENTING RETRIEVAL-AUGMENTED GENERATION AND VECTOR DATABASES FOR CHATBOTS IN PUBLIC SERVICES AGENCIES CONTEXT,Ibnu Pujiono|Irfan Murtadho Agtyaputra|Yova Ruldeviyani,2024,2024-08-22,4,Open Access
W2105762073,https://doi.org/10.1109/25.832995,Influence of database accuracy on two-dimensional ray-tracing-based predictions in urban microcells,K. Rizk|Jean–Frédéric Wagen|F. E. Gardiol,2000,2000-03-01,36,Open Access
W4411936524,https://doi.org/10.1111/coin.70096,AutoMathKG: The Automated Mathematical Knowledge Graph Based on LLM and Vector Database,Rong Bian|Yu Geng|Zijian Yang|Bing Cheng,2025,2025-07-02,3,Open Access
W4399678218,https://doi.org/10.55041/ijsrem35419,The Nexus of AI and Vector Databases: Revolutionizing NLP with LLMs,Nazeer Shaik,2024,2024-06-14,2,Open Access
W4409068762,https://doi.org/10.3390/buildings15071144,Optimising Contract Interpretations with Large Language Models: A Comparative Evaluation of a Vector Database-Powered Chatbot vs. ChatGPT,P. V. I. N. Saparamadu|Samad M. E. Sepasgozar|R. N. D. Guruge|Himal Suranga Jayasena|Ali Darejeh|Sanee Mohammad Ebrahimzadeh|B. A. I. Eranga,2025,2025-03-31,5,Open Access
W3088750566,https://doi.org/10.1007/s11042-020-09887-2,The image annotation algorithm using convolutional features from intermediate layer of deep learning,Yuantao Chen|Linwu Liu|Jiajun Tao|Xi Chen|Runlong Xia|Qian Zhang|Jie Xiong|Kai Yang|Jingbo Xie,2020,2020-09-28,85,NOT Open Access
W4402690602,https://doi.org/10.47363/jmca/2024(3)e121,AutoPureData: Automated Filtering of Undesirable Web Data to Update LLM Knowledge,Praneeth Vadlapati,2024,2024-07-22,4,Open Access
W4415030728,https://doi.org/10.3390/app152010886,LLM Selection and Vector Database Tuning: A Methodology for Enhancing RAG Systems,Łukasz Pawlik,2025,2025-10-10,2,Open Access
W4399174623,https://doi.org/10.1145/3654990,Vexless: A Serverless Vector Data Management System Using Cloud Functions,Yongye Su|Yinqi Sun|Minjia Zhang|Jianguo Wang,2024,2024-05-29,24,Open Access
W4396655358,https://doi.org/10.1016/j.heliyon.2024.e30643,A novel approach for identification of zoonotic trypanosome utilizing deep metric learning and vector database-based image retrieval system,Veerayuth Kittichai|Weerachat Sompong|Morakot Kaewthamasorn|Thanyathep Sasisaowapak|Kaung Myat Naing|Teerawat Tongloy|Santhad Chuwongin|Suchansa Thanee|Siridech Boonsang,2024,2024-05-01,5,Open Access
W2070627769,https://doi.org/10.1016/j.eij.2014.02.001,Color image retrieval using statistical model and radial basis function neural network,K. Seetharaman|S. Sathiamoorthy,2014,2014-03-01,19,Open Access
W4283384464,https://doi.org/10.1080/14498596.2022.2091674,A geometrical approach to matching raster &amp; vector databases of buildings,Antonio Tomás Mozas‐Calvache,2022,2022-06-24,2,NOT Open Access
W4409306920,https://doi.org/10.1016/j.mlwa.2025.100641,ASKSQL: Enabling cost-effective natural language to SQL conversion for enhanced analytics and search,Arpit Bajgoti|Rishik Gupta|Rinky Dwivedi,2025,2025-04-09,7,Open Access
W4390692351,https://doi.org/10.1109/jbhi.2024.3352013,"A Novel Collaborative SRU Network With Dynamic Behaviour Aggregation, Reduced Communication Overhead and Explainable Features",Izhar Ahmed Khan|Imran Razzak|Dechang Pi|Umar Zia|Shaharyar Kamal|Yasir Hussain,2024,2024-01-10,61,Open Access
W4403192351,https://doi.org/10.14569/ijacsa.2024.0150985,Content-Based Image Retrieval Using Transfer Learning and Vector Database,Li Shuo|Lilly Suriani Affendey|Fatimah Sidi,2024,2024-01-01,2,Open Access
W2071213124,https://doi.org/10.1016/s0167-8655(03)00159-4,Edge detection in multispectral images using the self-organizing map,Pekka Toivanen|Jarkko Ansamaki|Jussi Parkkinen|Jarno Mielikäinen,2003,2003-09-03,38,NOT Open Access
W3134215161,https://doi.org/10.36548/jiip.2021.1.002,Analysis of Adaptive Image Retrieval by Transition Kalman Filter Approach based on Intensity Parameter,R. Dhaya,2021,2021-03-08,55,Open Access
W2908088979,https://doi.org/10.4283/jmag.2018.23.4.553,Short Term Effect of PEMF Magnetotherapy on Chronic Low Back Pain,P. Galovic|Dušan Čelan|T. Hernja-Rumpf,2018,2018-12-31,4,NOT Open Access
W4411403474,https://doi.org/10.1145/3725403,Fast Approximate Similarity Join in Vector Databases,Jiadong Xie|Jeffrey Xu Yu|Yingfan Liu,2025,2025-06-17,1,NOT Open Access
W4395038196,https://doi.org/10.22214/ijraset.2024.59852,From Text to Recommendations: How Vector Databases are Revolutionizing Personalized Content Delivery,Satyanand Kale,2024,2024-04-23,2,Open Access
W4392593432,https://doi.org/10.3389/frai.2024.1366273,BioVDB: biological vector database for high-throughput gene expression meta-analysis,M. Winnicki|Chase A. Brown|Hunter L. Porter|Cory B. Giles|Jonathan D. Wren,2024,2024-03-08,2,Open Access
W2125989725,https://doi.org/10.1016/j.patrec.2005.08.003,Detecting urbanization changes using SPOT5,V. Lacroix|Mahamadou Idrissa|A. Hincq|H. Bruynseels|O. Swartenbroekx,2005,2005-09-29,13,NOT Open Access
W4414366807,https://doi.org/10.1515/comp-2025-0036,Interacting with vector databases by means of domain-specific language,Elena Akik|Marko Vještica|Vladimir Dimitrieski|Milan Čeliković|Slavica Kordić|Sonja Ristić,2025,2025-01-01,1,Open Access
W4408764887,https://doi.org/10.1016/j.aej.2025.03.030,A novel system for strengthening security in large language models against hallucination and injection attacks with effective strategies,Tunahan Gokcimen|Bihter Daş,2025,2025-03-23,13,Open Access
W2356680826,,Vector Spatial Data Cloud Storage and Processing Based on MongoDB,Lei Delon,2014,2014-01-01,2,NOT Open Access
W3207278005,https://doi.org/10.3390/rs13204117,The Influence of Sky View Factor on Daytime and Nighttime Urban Land Surface Temperature in Different Spatial-Temporal Scales: A Case Study of Beijing,Qiang Chen|Qianhao Cheng|Yunhao Chen|Kangning Li|Dandan Wang|Shisong Cao,2021,2021-10-14,49,Open Access
W4403074495,https://doi.org/10.3390/app14198856,LLM Based Chatbot for Farm-to-Fork Blockchain Traceability Platform,José Benzinho|João J. Ferreira|Joel Batista|Leandro Pereira|Marisa Maximiano|Vítor Távora|Ricardo Gomes|Orlando Remédios,2024,2024-10-02,18,Open Access
W4407848143,https://doi.org/10.54691/eacstn55,Strategies for Improving Vector Database Performance through Algorithm Optimization,Zhongqi Zhu,2025,2025-02-21,1,Open Access
W2030925138,https://doi.org/10.1080/01431161.2012.725483,Change detection of buildings from satellite imagery and lidar data,José A. Malpica|María C. Alonso|Francisco Papí|Antonio Arozarena|Alex Martinez‐Agirre,2012,2012-10-31,43,Open Access
W4406714995,https://doi.org/10.1016/j.knosys.2025.113047,Enhancing knowledge retrieval with in-context learning and semantic search through generative AI,Mohammed-Khalil Ghali|Abdelrahman Farrag|Daehan Won|Yu Jin,2025,2025-01-23,45,NOT Open Access
W2967817062,https://doi.org/10.1007/s11042-019-08100-3,A robust medical image retrieval system based on wavelet optimization and adaptive block truncation coding,H. Kasban|Dina H. Salama,2019,2019-08-17,24,NOT Open Access
W2026383861,https://doi.org/10.1080/01431161.2011.640963,A model-based approach for automatic building database updating from high-resolution space imagery,Dilek Koç-San|Mustafa TÜRKER,2011,2011-12-22,15,NOT Open Access
W7160436230,https://doi.org/10.58812/esiscs.v3i03.938,"Semantic Search with Vector Database: A Comprehensive Review of Models, Indexing and Applications",Tanay Chowdhury,2026,2026-03-12,1,Open Access
W4414669346,https://doi.org/10.3390/app151910554,P-HNSW: Crash-Consistent HNSW for Vector Databases on Persistent Memory,Haena Lee|Taeyoon Park|Yedam Na|Wook-Hee Kim,2025,2025-09-29,1,Open Access
W4405541555,https://doi.org/10.70456/gajm2853,EXPLORING RAG IN MEDICAL QUESTION ANSWERING: INTEGRATING LLMS AND VECTOR DATABASES,Matija Špeletić|Matija Špeletić|Milan Protić|Saša V. Nikolić,2024,2024-01-01,1,NOT Open Access
W2046270904,https://doi.org/10.2747/1548-1603.47.1.135,"Building a Dynamic, Large-Scale Spatio-temporal Vector Database to Support a National Spatial Data Infrastructure in China",Huibing Wang|Tong Zhang|Xinming Tang|Yaolin Liu,2010,2010-01-01,2,Open Access
W4390647563,https://doi.org/10.1145/3639269,Starling: An I/O-Efficient Disk-Resident Graph Index Framework for High-Dimensional Vector Similarity Search on Data Segment,Mengzhao Wang|Weizhi Xu|Xiaomeng Yi|Songlin Wu|Zhangyang Peng|Xiangyu Ke|Yunjun Gao|Xiaoliang Xu|Rentong Guo|Charles Xie,2024,2024-03-12,54,Open Access
W1998032829,https://doi.org/10.1080/13658816.2011.639302,The<scp>CartACom</scp>model: transforming cartographic features into communicating agents for cartographic generalisation,Cécile Duchêne|Anne Ruas|Christophe Cambier,2012,2012-04-02,36,NOT Open Access
W4413755895,https://doi.org/10.14778/3718057.3718078,BigVectorBench: Heterogeneous Data Embedding and Compound Queries are Essential in Evaluating Vector Databases,Guoxin Kang|Zhongxin Ge|Jingpei Hu|Xueya Zhang|Lei Wang|Jianfeng Zhan,2025,2025-01-01,1,NOT Open Access
W4390913691,https://doi.org/10.1111/tgis.13132,Combining error models to reduce the imprecision of geometric length measurement in vector databases,Jean‐François Girres,2024,2024-01-16,1,NOT Open Access
W4404210426,https://doi.org/10.1038/s41598-024-79110-x,A fine-tuning enhanced RAG system with quantized influence measure as AI judge,Keshav Rangan|Yiqiao Yin,2024,2024-11-10,37,Open Access
W4415952002,https://doi.org/10.5121/ijait.2025.15501,"PROMPT ENGINEERING PIPELINES FOR LEGACY MODERNIZATION: COBOL, PL/I AND BIDIRECTIONAL CODE–NATURAL LANGUAGE TRANSFORMATION USING LLMS",Sivakumar Arigela|Gaurav Virwal,2025,2025-10-28,1,Open Access
W2607391466,https://doi.org/10.1007/s11707-017-0615-6,GIS model for identifying urban areas vulnerable to noise pollution: case study,Ștefan Bilașco|Corina Govor|Sanda Roșca|Iuliu Vescan|Filip Sorin|Ioan Fodorean,2017,2017-04-18,36,NOT Open Access
W2293446003,https://doi.org/10.1080/19479832.2015.1109565,Skybox image and video product evaluation,Pablo d’Angelo|Gellért Máttyus|Peter Reinartz,2015,2015-11-25,30,Open Access
W2010743819,https://doi.org/10.1016/j.cageo.2005.03.017,Runoff mapping using WEPP erosion model and GIS tools,Quirijn de Jong van Lier|Gerd Sparovek|Dennis C. Flanagan|Elke Bloem|Ewald Schnug,2005,2005-05-25,47,NOT Open Access
W2358339118,,Implementation of Vector Database of Original Manchu Characters and Manchu/Roman Characters Transform Inputting,Guang Zhang,2003,2003-01-01,1,NOT Open Access
W4411928761,https://doi.org/10.3390/bdcc9070175,Using Vector Databases for the Selection of Related Occupations: An Empirical Evaluation Using O*NET,Lino Gonzalez-Garcia|Miguel‐Ángel Sicilia|Elena García‐Barriocanal,2025,2025-07-02,1,Open Access
W4408049533,https://doi.org/10.17148/iarjset.2025.12210,"Introduction to Vector Databases for Generative AI: Applications, Performance, Future Projections, and Cost Considerations",Satyadhar Joshi,2025,2025-02-20,1,Open Access
W2019695274,https://doi.org/10.1080/10106049.2015.1004132,Defining a framework for integration of Geospatial technologies for Emergency Management,V. Bhanumurthy|Giri Shankar|K. Ram Mohan Rao|PV Nagamani,2015,2015-01-09,24,NOT Open Access
W4408413603,https://doi.org/10.3390/ai6030056,"Emotion-Aware Embedding Fusion in Large Language Models (Flan-T5, Llama 2, DeepSeek-R1, and ChatGPT 4) for Intelligent Response Generation",Abdur Rasool|Muhammad Irfan Shahzad|Hafsa Aslam|Vincent Chan|Muhammad Ali Arshad,2025,2025-03-13,44,Open Access
W1974948045,https://doi.org/10.1021/ci050277o,Virtual Hydrocarbon and Combinatorial Databases for Use with CAVEAT,Yongliang Yang|Dmitri V. Nesterenko|Ryan P. Trump|Ken Yamaguchi|Paul A. Bartlett|Dale G. Drueckhammer,2005,2005-11-01,13,NOT Open Access
W4412444716,https://doi.org/10.1109/access.2025.3589241,RAG-Driven Memory Architectures in Conversational LLMs—A Literature Review With Insights Into Emerging Agriculture Data Sharing,Nur Arifin Akbar|Rahool Dembani|Biagio Lenzitti|Domenico Tegolo,2025,2025-01-01,13,Open Access
W4404181272,https://doi.org/10.14778/3685800.3685838,LLM for Data Management,Guoliang Li|Xuanhe Zhou|Xinyang Zhao,2024,2024-08-01,31,NOT Open Access
W4400323029,https://doi.org/10.14569/ijacsa.2024.0150601,Integrating Advanced Language Models and Vector Database for Enhanced AI Query Retrieval in Web Development,Xiaoli Huan|Zhou Hong,2024,2024-01-01,1,Open Access
W1502439160,https://doi.org/10.1023/a:1023066706852,"A GIS for the Assessment of the Spatio-Temporal Changes of the Kotychi Lagoon, Western Peloponnese, Greece",Dionissios Kalivas|V. J. Kollias|G. Karantounias,2003,2003-02-01,36,NOT Open Access
W2898123810,https://doi.org/10.1016/j.jag.2018.09.013,Global assessment and mapping of changes in mesoscale landscapes: 1992–2015,Jakub Nowosad|T. F. Stepinski|Paweł Netzel,2018,2018-10-26,43,Open Access
W4409581432,https://doi.org/10.1109/tsc.2025.3562362,Enhancing LLM QoS Through Cloud-Edge Collaboration: A Diffusion-Based Multi-Agent Reinforcement Learning Approach,Zhi Yao|Zhiqing Tang|Wenmian Yang|Weijia Jia,2025,2025-04-18,11,NOT Open Access
W3109592921,https://doi.org/10.1016/j.jksuci.2020.11.028,Facial image recognition for biometric authentication systems using a combination of geometrical feature points and low-level visual features,M. Vasanthi|K. Seetharaman,2020,2020-11-23,29,Open Access
W1967328652,https://doi.org/10.3844/ajassp.2013.549.562,A HYBRID APPROACH BASED MEDICAL IMAGE RETRIEVAL SYSTEM USING FEATURE OPTIMIZED CLASSIFICATION SIMILARITY FRAMEWORK,Yogapriya Jaganathan,2013,2013-06-01,8,Open Access
W4398141327,https://doi.org/10.1177/19322968241253568,Building Trustworthy Generative Artificial Intelligence for Diabetes Care and Limb Preservation: A Medical Knowledge Extraction Case,Shayan Mashatian|David G. Armstrong|Aaron Ritter|Jeffery Robbins|Shereen Aziz|Ilia Alenabi|Michelle Huo|Taneeka Anand|Kouhyar Tavakolian,2024,2024-05-20,28,Open Access
W4400732384,https://doi.org/10.1088/1748-0221/19/07/c07006,Towards a RAG-based summarization for the Electron Ion Collider,K. Suresh|Neeltje Kackar|Luke Schleck|C. Fanelli,2024,2024-07-01,8,Open Access
W4407355496,https://doi.org/10.14778/3696435.3696439,Chameleon: A Heterogeneous and Disaggregated Accelerator System for Retrieval-Augmented Language Models,Wenqi Jiang|Marco Zeller|Roger Waleffe|Torsten Hoefler|Gustavo Alonso,2024,2024-09-01,15,NOT Open Access
W7162799943,https://doi.org/10.25258/ijddt.16.34s.105,Exploring the Performance of Vespa Vector DB,Suman Gill|Dr Suman Goyat|Monika Saini,2026,2026-05-25,0,NOT Open Access
W2531891424,https://doi.org/10.1515/mgr-2016-0016,An evaluation of soil retention potential as an important factor of water balance in the landscape,Zdena Krnáčová|Juraj Hreško|Miriam Vlachovičová,2016,2016-09-01,7,Open Access
W4394619840,https://doi.org/10.1186/s40494-024-01231-3,Nanjing Yunjin intelligent question-answering system based on knowledge graphs and retrieval augmented generation technology,Liang Xu|Lu Lu|Minglu Liu|Chengxuan Song|Lizhen Wu,2024,2024-04-09,37,Open Access
W2021236715,https://doi.org/10.1080/13658816.2011.592647,A multidisciplinary approach to reveal palaeo-hydrographic features: the case study of <i>Luna</i> archaeological site surroundings,Marina Bisson|Mónica Bini,2011,2011-10-21,12,NOT Open Access
W2906270115,https://doi.org/10.1109/tpami.2019.2952606,Quicker ADC : Unlocking the Hidden Potential of Product Quantization With SIMD,Fabien André|Anne-Marie Kermarrec|Nicolas Le Scouarnec,2019,2019-11-11,19,Open Access
W4409825362,https://doi.org/10.3389/frai.2025.1546179,Large language models for intelligent RDF knowledge graph construction: results from medical ontology mapping,Apostolos Mavridis|Στέργιος Τέγος|Christos Anastasiou|Μαρία Παπουτσόγλου|Γεώργιος Μεδίτσκος,2025,2025-04-25,20,Open Access
W4411023341,https://doi.org/10.1016/j.aiia.2025.05.006,A review on enhancing agricultural intelligence with large language models,H.-X Li|Huarui Wu|Qiaoxing Li|Chunjiang Zhao,2025,2025-06-04,15,Open Access
W4402326741,https://doi.org/10.1016/j.bjps.2024.09.001,Prompt engineering to increase GPT3.5’s performance on the Plastic Surgery In-Service Exams,George R. Nahass|Sydney W Chin|Isabel Scharf|Sobhi Kazmouz|Nicolas Kaplan|Richard Chiu|Kevin Yang|Naji Bou Zeid|Julia Corcoran|Lee W. T. Alkureishi,2024,2024-09-06,8,NOT Open Access
W4401896515,https://doi.org/10.3390/app14167414,GenAI-Assisted Database Deployment for Heterogeneous Indigenous–Native Ethnographic Research Data,Reen‐Cheng Wang|David C. Yang|Ming-Che Hsieh|Yi-Cheng Chen|Weihsuan Lin,2024,2024-08-22,5,Open Access
W2149803399,https://doi.org/10.1504/ijcat.2014.062371,Geometrical face recognition after plastic surgery,Shaimaa A. El said|Hossam Mohamed Abol Atta,2014,2014-01-01,11,NOT Open Access
W2345012558,https://doi.org/10.1016/j.ecolind.2016.03.033,Integrating small-scale landscape elements into land use/cover: The impact on landscape metrics’ values,Kiira Mõisja|Evelyn Uuemaa|Tõnu Oja,2016,2016-04-29,23,NOT Open Access
W4393363427,https://doi.org/10.1002/pmic.202400005,Open‐source large language models in action: A bioinformatics chatbot for PRIDE database,Jingwen Bai|Selvakumar Kamatchinathan|Deepti J Kundu|Chakradhar Bandla|Juan Antonio Vizcaíno|Yasset Pérez‐Riverol,2024,2024-03-31,15,Open Access
W4394912813,https://doi.org/10.1016/j.egyai.2024.100365,A reliable knowledge processing framework for combustion science using foundation models,Vansh Sharma|Venkat Raman,2024,2024-04-18,20,Open Access
W4396792104,https://doi.org/10.7759/cureus.60044,Utilizing Large Language Models for Enhanced Clinical Trial Matching: A Study on Automation in Patient Screening,Jacob Beattie|Sarah Neufeld|Daniel X. Yang|Christian Chukwuma|Ahmed Gul|Neil Desai|Steve Jiang|Michael Dohopolski,2024,2024-05-10,30,Open Access
W4388234781,https://doi.org/10.37943/15xndz6667,DEVELOPMENT OF A QUESTION ANSWERING CHATBOT FOR BLOCKCHAIN DOMAIN,Aigerim Mansurova|Aliya Nugumanova|Zhansaya Makhambetova,2023,2023-09-30,14,Open Access
W2189620004,,Effect of Similarity Measures for CBIR Using Bins Approach,Dr. H. B Kekre|Kavita Sonawane,2016,2016-08-13,6,NOT Open Access
W4403651433,https://doi.org/10.7717/peerj-cs.2374,Mitigating adversarial manipulation in LLMs: a prompt-based approach to counter Jailbreak attacks (Prompt-G),Bhagyajit Pingua|Deepak Murmu|Meenakshi Kandpal|Jyotirmayee Rautaray|Pranati Mishra|Rabindra K. Barik|Manob Jyoti Saikia,2024,2024-10-22,12,Open Access
W2910163565,https://doi.org/10.1016/j.geog.2018.11.008,An automatic method for road centerline extraction from post-earthquake aerial images,Zhumei Liu|Jingfa Zhang|Xue Li,2019,2019-01-01,9,Open Access
W3111434830,https://doi.org/10.18280/ts.370509,Key-Frame Detection and Video Retrieval Based on DC Coefficient-Based Cosine Orthogonality and Multivariate Statistical Tests,Gowrisankar Kalakoti|G. Prabakaran,2020,2020-11-25,5,Open Access
W2047186680,https://doi.org/10.1016/s0378-7796(00)00118-8,Distribution system fault identification by mapping of characteristic vectors,D.T.W. Chan|Chao Lü,2001,2001-01-01,6,NOT Open Access
W3212666740,https://doi.org/10.1016/j.landusepol.2021.105842,Evaluating the use of the landslide database in spatial planning in mountain communes (the Polish Carpathians),Anna Bucała‐Hrabia|Małgorzata Kijowska‐Strugała|Przemysław Śleszyński|Zofia Rączkowska|Waldemar Izdebski|Zbigniew Malinowski,2021,2021-11-11,15,Open Access
W4404555248,https://doi.org/10.59720/24-073,Using text embedding models as text classifiers with medical data,Rishabh Goel|Ramin Ramezani,2024,2024-01-01,2,Open Access
